address,user_name,network,protocol_name,deposited_amount,deposited_assets,pool_type,pool_key,pool_controller,pool_index,site_url
0x0000006daea1723962647b7e189d311d757fb793,Wintermute 2,eth,Aave V2,28582,,Lending,eth-0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9-null,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,https://app.aave.com
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,arb,Tapioca,28345,,Vesting,arb-0x6f73a287611526d57112ad26ec396d86be65e104-null,0x6f73a287611526d57112ad26ec396d86be65e104,,https://www.tapioca.xyz
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,azuro,1741,,Vesting,eth-0xdd180c6387468e1cb3d4a592016e8fe0ae8cc35f-null,0xdd180c6387468e1cb3d4a592016e8fe0ae8cc35f,,https://azuro.org/liquidity
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Convex,3970,cvxCRV,Staked,eth-0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434-null,0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434,,https://www.convexfinance.com
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,EigenLayer,27177,ETH,Yield,eth-0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2-null,0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2,,https://app.eigenlayer.xyz
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Elixir,100717,deUSD USDC,Farming,eth-0xc7963974280261736868f962e3959ee1e1b99712-null,0xc7963974280261736868f962e3959ee1e1b99712,,https://www.elixir.xyz/apothecary
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Enzyme,59588,stETH,Yield,eth-0x1ce8aafb51e79f6bdc0ef2ebd6fd34b00620f6db-null,0x1ce8aafb51e79f6bdc0ef2ebd6fd34b00620f6db,,https://app.enzyme.finance
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Ethena,24954,USDe,Farming,eth-0x8707f238936c12c309bfc2b9959c35828acfc512-null,0x8707f238936c12c309bfc2b9959c35828acfc512,,https://www.ethena.fi
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,14318,FRAX USDC,Farming,eth-0x3ef26504dbc8dd7b7aa3e97bc9f3813a9fc0b4b0-null,0x3ef26504dbc8dd7b7aa3e97bc9f3813a9fc0b4b0,,https://app.frax.finance
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,19103,FRAX,Farming,eth-0x698137c473bc1f0ea9b85ade45caf64ef2df48d6-null,0x698137c473bc1f0ea9b85ade45caf64ef2df48d6,,https://app.frax.finance
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,15595,FXS,Locked,eth-0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0-null,0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0,,https://app.frax.finance
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,15468,FRAX DAI USDC USDT,Farming,eth-0xeb81b86248d3c2b618ccb071adb122109da96da2-null,0xeb81b86248d3c2b618ccb071adb122109da96da2,,https://app.frax.finance
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Kelp DAO,36945,ETH,Yield,eth-0xe1b4d34e8754600962cd944b535180bd758e6c2e-null,0xe1b4d34e8754600962cd944b535180bd758e6c2e,,https://kelpdao.xyz
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,linea,ZeroLend,2641,ezETH,Lending,linea-0x2f9bb73a8e98793e26cb2f6c4ad037bdf1c6b269-null,0x2f9bb73a8e98793e26cb2f6c4ad037bdf1c6b269,,https://app.zerolend.xyz/
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Napier Finance,29423,ETH,Yield,eth-0x5a2d321ed5c525e52a3b8d295c6d097a3c78b821-null,0x5a2d321ed5c525e52a3b8d295c6d097a3c78b821,,https://app.napier.finance
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Symbiotic,29641,ETH,Staked,eth-0x03bf48b8a1b37fbead1ecabcf15b98b924ffa5ac-null,0x03bf48b8a1b37fbead1ecabcf15b98b924ffa5ac,,https://app.symbiotic.fi
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,3Jane,17222,ETH,Yield,eth-0xacd147a5bbcb7166c5bb13a9354ad7a59b99fb4d-null,0xacd147a5bbcb7166c5bb13a9354ad7a59b99fb4d,,https://www.3jane.xyz/app
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,xdai,CoW Swap,1235,,Vesting,xdai-0xc20c9c13e853fc64d054b73ff21d3636b2d97eab-null,0xc20c9c13e853fc64d054b73ff21d3636b2d97eab,,https://swap.cow.fi
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Zircuit,2553,ETH,Staked,eth-0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6-null,0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6,,https://stake.zircuit.com/
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,Balancer V2,43220,BAL ETH,Locked,eth-0xc128a9954e6c874ea3d62ce62b468ba073093f25-null,0xc128a9954e6c874ea3d62ce62b468ba073093f25,,https://balancer.finance
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,ftm,SpookySwap,2002,FTM WOOFY,Farming,ftm-0x2b2929e785374c651a81a63878ab22742656dcdd-20,0x2b2929e785374c651a81a63878ab22742656dcdd,20,https://spooky.fi
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,ftm,Yearn V2,1895,WFTM,Yield,ftm-0x0dec85e74a92c52b7f708c4b10207d9560cefaf0-null,0x0dec85e74a92c52b7f708c4b10207d9560cefaf0,,https://yearn.fi/
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,Inverse,52751,INV,Lending,eth-0xb516247596ca36bf32876199fbdcad6b3322330b-null,0xb516247596ca36bf32876199fbdcad6b3322330b,,https://inverse.finance
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,LIDO,48611,ETH,Staked,eth-0xae7ab96520de3a18e5e111b5eaab095312d7fe84-null,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,,https://stake.lido.fi
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,op,Yearn V2,14888,USDC,Farming,op-0xb2c04c55979b6ca7eb10e666933de5ed84e6876b-null,0xb2c04c55979b6ca7eb10e666933de5ed84e6876b,,https://yearn.finance
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,Pendle V2,275245,PT-ezETH-26DEC2024,Deposit,eth-0xf7906f274c174a52d444175729e3fa98f9bde285-null,0xf7906f274c174a52d444175729e3fa98f9bde285,,https://app.pendle.finance
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,Zircuit,243486,ETH,Staked,eth-0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6-null,0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6,,https://stake.zircuit.com/
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,eth,1inch,5031,1INCH,Locked,eth-0x9a0c8ff858d273f57072d714bca7411d717501d7-null,0x9a0c8ff858d273f57072d714bca7411d717501d7,,https://app.1inch.io
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,arb,Camelot,11387,GRAIL,Staked,arb-0x3caae25ee616f2c8e13c74da0813402eae3f496b-null,0x3caae25ee616f2c8e13c74da0813402eae3f496b,,https://app.camelot.exchange
