address,user_name,network,protocol_name,project_id,deposited_amount,deposited_assets,deposited_asset_addresses,pool_type,description,site_url,pool_key,pool_controller,pool_index
0x0000006daea1723962647b7e189d311d757fb793,Wintermute 2,eth,Aave V2,aave2,32284,,,Lending,,https://app.aave.com,eth-0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9-null,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,arb,Tapioca,arb_tapioca,32189,,,Vesting,,https://www.tapioca.xyz,arb-0x6f73a287611526d57112ad26ec396d86be65e104-null,0x6f73a287611526d57112ad26ec396d86be65e104,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,azuro,azuro,1409,,,Vesting,,https://azuro.org/liquidity,eth-0xdd180c6387468e1cb3d4a592016e8fe0ae8cc35f-null,0xdd180c6387468e1cb3d4a592016e8fe0ae8cc35f,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Convex,convex,3675,cvxCRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,Staked,,https://www.convexfinance.com,eth-0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434-null,0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Curve,curve,12503,deUSD USDC,0x15700b564ca08d9439c58ca5053166e8317aa138\n0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Liquidity Pool,deUSDUSDC,https://curve.fi,eth-0x5f6c431ac417f0f430b84a666a563fabe681da94-null,0x5f6c431ac417f0f430b84a666a563fabe681da94,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,EigenLayer,eigenlayer,28119,ETH,0x0000000000000000000000000000000000000000,Yield,rETH,https://app.eigenlayer.xyz,eth-0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2-null,0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,EigenLayer,eigenlayer,16443,EIGEN,0xec53bf9167f50cdeb3ae105f56099aaab9061f83,Deposit,,https://app.eigenlayer.xyz,eth-0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a-null,0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Elixir,elixir,50681,deUSD USDC,0x15700b564ca08d9439c58ca5053166e8317aa138\n0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Farming,,https://www.elixir.xyz/apothecary,eth-0xc7963974280261736868f962e3959ee1e1b99712-null,0xc7963974280261736868f962e3959ee1e1b99712,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Enzyme,enzyme,61506,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,Yield,,https://app.enzyme.finance,eth-0x1ce8aafb51e79f6bdc0ef2ebd6fd34b00620f6db-null,0x1ce8aafb51e79f6bdc0ef2ebd6fd34b00620f6db,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Ethena,ethena,24963,USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,Farming,,https://www.ethena.fi,eth-0x8707f238936c12c309bfc2b9959c35828acfc512-null,0x8707f238936c12c309bfc2b9959c35828acfc512,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,frax,14344,FRAX USDC,0x853d955acef822db058eb8505911ed77f175b99e\n0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Farming,,https://app.frax.finance,eth-0x3ef26504dbc8dd7b7aa3e97bc9f3813a9fc0b4b0-null,0x3ef26504dbc8dd7b7aa3e97bc9f3813a9fc0b4b0,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,frax,19228,FRAX,0x853d955acef822db058eb8505911ed77f175b99e,Farming,,https://app.frax.finance,eth-0x698137c473bc1f0ea9b85ade45caf64ef2df48d6-null,0x698137c473bc1f0ea9b85ade45caf64ef2df48d6,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,frax,18345,FXS,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,Locked,,https://app.frax.finance,eth-0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0-null,0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,frax,15478,FRAX DAI USDC USDT,0x853d955acef822db058eb8505911ed77f175b99e\n0x6b175474e89094c44da98b954eedeac495271d0f\n0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48\n0xdac17f958d2ee523a2206206994597c13d831ec7,Farming,,https://app.frax.finance,eth-0xeb81b86248d3c2b618ccb071adb122109da96da2-null,0xeb81b86248d3c2b618ccb071adb122109da96da2,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Kelp DAO,kelpdao,38208,ETH,0x0000000000000000000000000000000000000000,Yield,Kelp Gain,https://kelpdao.xyz,eth-0xe1b4d34e8754600962cd944b535180bd758e6c2e-null,0xe1b4d34e8754600962cd944b535180bd758e6c2e,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,linea,ZeroLend,linea_zerolend,2763,ezETH,0x2416092f143378750bb29b79ed961ab195cceea5,Lending,,https://app.zerolend.xyz/,linea-0x2f9bb73a8e98793e26cb2f6c4ad037bdf1c6b269-null,0x2f9bb73a8e98793e26cb2f6c4ad037bdf1c6b269,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,PancakeSwap V3,pancakeswap3,2259,ORDER WETH,0xabd4c63d2616a5201454168269031355f4764337\n0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Liquidity Pool,#13109,https://pancakeswap.finance,eth-0xb2dc4d7627501338b578985c214208eb32283086-null,0xb2dc4d7627501338b578985c214208eb32283086,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Symbiotic,symbiotic,30667,ETH,0x0000000000000000000000000000000000000000,Staked,DC_rETH,https://app.symbiotic.fi,eth-0x03bf48b8a1b37fbead1ecabcf15b98b924ffa5ac-null,0x03bf48b8a1b37fbead1ecabcf15b98b924ffa5ac,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,3Jane,threejane,17895,ETH,0x0000000000000000000000000000000000000000,Yield,,https://www.3jane.xyz/app,eth-0xacd147a5bbcb7166c5bb13a9354ad7a59b99fb4d-null,0xacd147a5bbcb7166c5bb13a9354ad7a59b99fb4d,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,xdai,CoW Swap,xdai_cowswap,1708,,,Vesting,,https://swap.cow.fi,xdai-0xc20c9c13e853fc64d054b73ff21d3636b2d97eab-null,0xc20c9c13e853fc64d054b73ff21d3636b2d97eab,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Zircuit,zircuit,2642,ETH,0x0000000000000000000000000000000000000000,Staked,,https://stake.zircuit.com/,eth-0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6-null,0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6,
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,Balancer V2,balancer2,50357,BAL ETH,0xba100000625a3754423978a60c9317c58a424e3d\n0x0000000000000000000000000000000000000000,Locked,,https://balancer.finance,eth-0xc128a9954e6c874ea3d62ce62b468ba073093f25-null,0xc128a9954e6c874ea3d62ce62b468ba073093f25,
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,ftm,SpookySwap,ftm_spookyswap,1028,FTM BOO,0x0000000000000000000000000000000000000000\n0x841fad6eae12c286d1fd18d1d525dffa75c7effe,Farming,,https://spooky.fi,ftm-0x2b2929e785374c651a81a63878ab22742656dcdd-0,0x2b2929e785374c651a81a63878ab22742656dcdd,0
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,ftm,SpookySwap,ftm_spookyswap,2897,FTM WOOFY,0x0000000000000000000000000000000000000000\n0xd0660cd418a64a1d44e9214ad8e459324d8157f1,Farming,,https://spooky.fi,ftm-0x2b2929e785374c651a81a63878ab22742656dcdd-20,0x2b2929e785374c651a81a63878ab22742656dcdd,20
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,ftm,Yearn V2,ftm_yearn2,3275,WFTM,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,Yield,WFTM yVault,https://yearn.fi/,ftm-0x0dec85e74a92c52b7f708c4b10207d9560cefaf0-null,0x0dec85e74a92c52b7f708c4b10207d9560cefaf0,
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,Inverse,inverse,49768,INV,0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,Lending,,https://inverse.finance,eth-0xb516247596ca36bf32876199fbdcad6b3322330b-null,0xb516247596ca36bf32876199fbdcad6b3322330b,
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,LIDO,lido,50327,ETH,0x0000000000000000000000000000000000000000,Staked,stETH,https://stake.lido.fi,eth-0xae7ab96520de3a18e5e111b5eaab095312d7fe84-null,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,op,Yearn V2,op_yearn2,15175,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,Farming,,https://yearn.finance,op-0xb2c04c55979b6ca7eb10e666933de5ed84e6876b-null,0xb2c04c55979b6ca7eb10e666933de5ed84e6876b,
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,Pendle V2,pendle2,288172,PT-ezETH-26DEC2024,0xf7906f274c174a52d444175729e3fa98f9bde285,Deposit,,https://app.pendle.finance,eth-0xf7906f274c174a52d444175729e3fa98f9bde285-null,0xf7906f274c174a52d444175729e3fa98f9bde285,
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,xdai,CoW Swap,xdai_cowswap,1005,,,Vesting,,https://swap.cow.fi,xdai-0xc20c9c13e853fc64d054b73ff21d3636b2d97eab-null,0xc20c9c13e853fc64d054b73ff21d3636b2d97eab,
0x0035fc5208ef989c28d47e552e92b0c507d2b318,banteg,eth,Zircuit,zircuit,252004,ETH,0x0000000000000000000000000000000000000000,Staked,,https://stake.zircuit.com/,eth-0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6-null,0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,eth,1inch,1inch2,4966,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,Locked,,https://app.1inch.io,eth-0x9a0c8ff858d273f57072d714bca7411d717501d7-null,0x9a0c8ff858d273f57072d714bca7411d717501d7,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,arb,Aave V3,arb_aave3,49099,weETH,0x35751007a407ca6feffe80b3cb397736d2cf4dbe,Lending,,https://app.aave.com,arb-0x794a61358d6845594f94dc1db02a252b5b4814ad-null,0x794a61358d6845594f94dc1db02a252b5b4814ad,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,arb,Camelot,arb_camelot,11498,GRAIL,0x3d9907f9a368ad0a51be60f7da3b97cf940982d8,Staked,xGRAIL,https://app.camelot.exchange,arb-0x3caae25ee616f2c8e13c74da0813402eae3f496b-null,0x3caae25ee616f2c8e13c74da0813402eae3f496b,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,arb,Camelot,arb_camelot,1428,WETH GMX,0x82af49447d8a07e3bd95bd0d56f35241523fbab1\n0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,Locked,#574,https://app.camelot.exchange,arb-0x4242fbeecf6b1db01a50b8878f85c31e5e53a5c6-null,0x4242fbeecf6b1db01a50b8878f85c31e5e53a5c6,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,arb,Gravita Protocol,arb_gravitaprotocol,1371,ARB GRAI,0x912ce59144191c1204e64559fe8253a0e49e6548\n0x894134a25a5fac1c2c26f1d8fbf05111a3cb9487,Deposit,,https://app.gravitaprotocol.com,arb-0xec0f08bc015a0d0fba1df0b8b11d4779f5a04326-null,0xec0f08bc015a0d0fba1df0b8b11d4779f5a04326,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,arb,RAMSES,arb_ramses,23935,RAM,0xaaa6c1e32c55a7bfa8066a6fae9b42650f262418,Locked,veRAM#2379,https://app.ramses.exchange,arb-0xaaa343032aa79ee9a6897dab03bef967c3289a06-null,0xaaa343032aa79ee9a6897dab03bef967c3289a06,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,avax,Aave V3,avax_aave3,28019,AVAX,0x0000000000000000000000000000000000000000,Lending,,https://app.aave.com,avax-0x794a61358d6845594f94dc1db02a252b5b4814ad-null,0x794a61358d6845594f94dc1db02a252b5b4814ad,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,avax,Pharaoh Exchange,avax_pharaoh,1414,PHAR,0xaaab9d12a30504559b0c5a9a5977fee4a6081c6b,Locked,,https://pharaoh.exchange,avax-0xaaaea1fb9f3de3f70e89f37b69ab11b47eb9ce6f-null,0xaaaea1fb9f3de3f70e89f37b69ab11b47eb9ce6f,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,base,Aave V3,base_aave3,1654666,cbETH,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,Lending,,https://app.aave.com,base-0xa238dd80c259a72e81d7e4664a9801593f98d1c5-null,0xa238dd80c259a72e81d7e4664a9801593f98d1c5,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,cucbku,base,Aerodrome,base_aerodrome,25578,ION ETH,0x3ee5e23eee121094f1cfc0ccc79d6c809ebd22e5\n0x0000000000000000000000000000000000000000,Farming,,https://aerodrome.finance/,base-0x9b42e5f8c45222b2715f804968251c747c588fd7-null,0x9b42e5f8c45222b2715f804968251c747c588fd7,
